year,global_temp_mean,global_temp_avg_max,global_temp_record_max,global_temp_avg_min,global_temp_record_min,global_anomaly_mean
2015,16.96180821917808,21.325260273972603,45.5,12.961735159817351,-24.3,0.0037578358264943926
2016,17.074899817850635,21.453970856102003,45.1,13.085664845173042,-23.2,0.11684943449904973
2017,16.909844748858447,21.539689497716896,44.0,12.888876712328768,-24.8,-0.048205634493140324
2018,16.97594520547945,21.61682191780822,45.1,12.909515981735161,-24.5,0.01789482212786422
2019,16.867433789954337,21.55167123287671,44.3,12.749260273972602,-21.9,-0.09061659339724995
2020,17.077814207650274,21.756539162112933,44.3,12.97504553734062,-21.6,0.11976382429868541
2021,16.754611872146118,21.464876712328767,44.4,12.646904109589041,-17.6,-0.20343851120546907
2022,16.878374429223744,21.76206392694064,45.3,12.587360730593607,-22.6,-0.07967595412784352
2023,17.2013698630137,22.09510502283105,44.7,12.929351598173515,-25.1,0.24331947966211082
2024,17.41389799635701,22.34023679417122,46.3,13.155737704918034,-17.0,0.455847613005425
